Date,Open ,High ,Low ,Close ,Prev. Close,SMA_20,EMA_20,RSI_14,EMA_12,EMA_26,MACD,Signal_Line,BB_Upper,BB_Lower
18-07-2017,11.4575,11.79,10.285,11.49,11.255,12.05875,11.84193358,31.25,11.53051184,12.00130013,-0.470788298,-0.423083009,14.49193099,9.625569009
17-07-2017,11.1725,11.5675,10.48,11.4575,11.49,11.9125,11.80532086,44.04,11.51927925,11.96101864,-0.441739397,-0.426814287,14.0964444,9.728555596
14-07-2017,11.2475,11.4775,10.065,11.1725,11.4575,11.711375,11.7450522,51.15,11.46592859,11.90260985,-0.436681262,-0.428787682,13.27540696,10.14734304
13-07-2017,11.0525,11.395,9.86,11.2475,11.1725,11.583625,11.69766628,42.06,11.43232419,11.8540832,-0.421759005,-0.427381946,12.8092639,10.3579861
12-07-2017,10.89,11.3,9.6725,11.0525,11.2475,11.463625,11.63622187,37.29,11.3738897,11.79470667,-0.420816963,-0.42606895,12.33863549,10.58861451
11-07-2017,10.9125,11.0775,9.8975,10.89,11.0525,11.369625,11.56515312,35.23,11.29944513,11.72769136,-0.428246224,-0.426504404,12.03176125,10.70748875
10-07-2017,10.8675,11.0925,9.57,10.9125,10.89,11.3205,11.50299568,33.44,11.23991511,11.66730681,-0.427391699,-0.426681863,11.96404201,10.67695799
07-07-2017,10.9825,11.125,9.615,10.8675,10.9125,11.294375,11.44247228,45.13,11.18262048,11.60806186,-0.425441383,-0.426433767,11.96776758,10.62098242
06-07-2017,11.1525,11.175,10.2875,10.9825,10.8675,11.261375,11.3986654,42.31,11.15183271,11.56172395,-0.409891233,-0.42312526,11.92758477,10.59516523
05-07-2017,11.275,11.42,10.45,11.1525,10.9825,11.221875,11.37522108,46,11.15193537,11.53141106,-0.379475689,-0.414395346,11.80676112,10.63698888
04-07-2017,11.2,11.645,10.42,11.275,11.1525,11.19025,11.36567621,55.32,11.17086839,11.51241765,-0.341549257,-0.399826128,11.67964786,10.70085214
03-07-2017,11.7325,11.75,10.455,11.2,11.275,11.15525,11.34989752,49.05,11.17535018,11.4892756,-0.313925423,-0.382645987,11.51346891,10.79703109
30-06-2017,11.3825,12.1025,11.0775,11.7325,11.2,11.185,11.38633586,53.15,11.26106554,11.50729222,-0.246226688,-0.355362128,11.62622437,10.74377563
29-06-2017,11.99,11.99,10.595,11.3825,11.7325,11.19325,11.38597054,59.81,11.27974776,11.49804836,-0.218300595,-0.327949821,11.64311869,10.74338131
28-06-2017,12.5075,12.755,11.0925,11.99,11.3825,11.23425,11.44349715,52.64,11.38901734,11.53448922,-0.145471882,-0.291454233,11.80769091,10.66080909
27-06-2017,11.5575,12.8675,10.93,12.5075,11.99,11.314,11.54483076,58.96,11.56109159,11.60656409,-0.045472499,-0.242257886,12.1023901,10.5256099
23-06-2017,11.2075,11.78,8.755,11.5575,12.5075,11.32625,11.54603735,66.03,11.56053904,11.60292971,-0.042390674,-0.202284444,12.1221201,10.5303799
22-06-2017,10.915,11.42,10.07,11.2075,11.5575,11.332375,11.5137957,54.89,11.50622534,11.57363862,-0.067413283,-0.175310212,12.12229084,10.54245916
21-06-2017,10.6575,11.055,9.775,10.915,11.2075,11.312375,11.45676754,49.53,11.4152676,11.52485058,-0.109582981,-0.162164766,12.12409746,10.50065254
20-06-2017,10.6275,10.8725,9.82,10.6575,10.915,11.2825,11.38064682,48.41,11.29868797,11.46060239,-0.161914421,-0.162114697,12.14547679,10.41952321
19-06-2017,10.915,10.915,9.7425,10.6275,10.6575,11.239375,11.30891855,47.36,11.19542828,11.3988911,-0.20346282,-0.170384321,12.14389417,10.33485583
16-06-2017,11.325,11.325,9.7125,10.915,10.6275,11.21225,11.2714025,46.77,11.15228547,11.36304731,-0.210761847,-0.178459826,12.12175088,10.30274912
15-06-2017,11.18,11.43,9.885,11.325,10.915,11.219875,11.27650702,50.51,11.17885693,11.36022899,-0.181372061,-0.179042273,12.13052901,10.30922099
14-06-2017,11.34,11.5275,10.44,11.18,11.325,11.2165,11.26731588,53.46,11.17903279,11.3468787,-0.167845908,-0.176803,12.12722325,10.30577675
13-06-2017,11.4225,11.4625,9.9025,11.34,11.18,11.230875,11.27423817,50.28,11.20379698,11.34636917,-0.142572189,-0.169956838,12.13977294,10.32197706
12-06-2017,10.8625,11.5025,10.3525,11.4225,11.34,11.2575,11.28835835,50.65,11.2374436,11.35200849,-0.114564891,-0.158878449,12.15548605,10.35951395
09-06-2017,11.0675,11.225,10.275,10.8625,11.4225,11.255,11.24780041,52.24,11.17975997,11.3157486,-0.135988633,-0.154300486,12.15729824,10.35270176
08-06-2017,10.89,11.1275,9.5275,11.0675,10.8625,11.265,11.23062894,41.3,11.1624892,11.29735981,-0.134870612,-0.150414511,12.15354405,10.37645595
07-06-2017,11.1325,11.185,10.2225,10.89,11.0675,11.260375,11.19818809,46.76,11.12056779,11.26718501,-0.146617227,-0.149655054,12.15604481,10.36470519
06-06-2017,11.015,11.32,9.49,11.1325,10.89,11.259375,11.19193208,37.57,11.12240351,11.25720834,-0.134804834,-0.14668501,12.15559642,10.36315358
05-06-2017,10.81,11.1425,10.0525,11.015,11.1325,11.246375,11.17508141,33.43,11.10587989,11.23926699,-0.133387092,-0.144025426,12.14916086,10.34358914
02-06-2017,11.3075,11.3075,10.3125,10.81,11.015,11.226875,11.14031175,41.82,11.06035991,11.20746943,-0.147109521,-0.144642245,12.15048616,10.30326384
01-06-2017,11.7625,11.9125,10.6125,11.3075,10.81,11.205625,11.15623444,43.74,11.09838146,11.2148791,-0.116497641,-0.139013324,12.09932646,10.31192354
31-05-2017,11.765,12.2475,11.02,11.7625,11.3075,11.224625,11.21397402,55.81,11.20055355,11.25544361,-0.054890069,-0.122188673,12.14976407,10.29948593
30-05-2017,11.7875,12.2725,10.8625,11.765,11.7625,11.213375,11.26645268,65.45,11.28739146,11.29318853,-0.00579707,-0.098910353,12.1041601,10.3225899
29-05-2017,10.8625,11.8775,10.26,11.7875,11.765,11.177375,11.31607624,66.03,11.36433124,11.3298042,0.034527041,-0.072222874,11.8879057,10.4668443
26-05-2017,10.4475,11.1875,9.8875,10.8625,11.7875,11.142625,11.2728785,63.29,11.28712643,11.29518907,-0.008062639,-0.059390827,11.84278377,10.44246623
25-05-2017,11.83,11.92,10.1925,10.4475,10.8625,11.104625,11.19427102,43.91,11.15795313,11.23239729,-0.074444153,-0.062401492,11.86946636,10.33978364
24-05-2017,12.2025,12.785,10.45,11.83,10.4475,11.150375,11.25481664,41,11.26134496,11.27666415,-0.015319195,-0.052985033,11.97461512,10.32613488
23-05-2017,11.2025,12.765,9.865,12.2025,11.83,11.227625,11.3450722,54.63,11.40613804,11.34524459,0.060893455,-0.030209335,12.14203662,10.31321338
22-05-2017,11.3025,11.8525,10.2,11.2025,12.2025,11.256375,11.33149389,56.99,11.37480911,11.33467091,0.040138198,-0.016139829,12.12642109,10.38632891
19-05-2017,11.785,11.9,10.3975,11.3025,11.2025,11.27575,11.32873257,52.82,11.36368463,11.33228788,0.03139675,-0.006632513,12.13091865,10.42058135
18-05-2017,10.635,12.745,9.8175,11.785,11.3025,11.29875,11.37218661,51.99,11.42850238,11.36582211,0.062680268,0.007230043,12.18372026,10.41377974
17-05-2017,10.56,10.8075,9.245,10.635,11.785,11.2715,11.30197836,57.19,11.30642509,11.31168714,-0.00526205,0.004731625,12.20414536,10.33885464
16-05-2017,10.675,11.0225,9.065,10.56,10.635,11.2325,11.23131376,46.51,11.19159046,11.25600661,-0.064416151,-0.009097931,12.21688332,10.24811668
15-05-2017,10.6275,11.14,8.835,10.675,10.56,11.195125,11.17833149,46.79,11.11211501,11.21296909,-0.10085408,-0.02744916,12.20555153,10.18469847
12-05-2017,10.8375,10.8375,9.465,10.6275,10.675,11.183375,11.12587135,49.04,11.03755885,11.16960101,-0.132042154,-0.048367759,12.2153242,10.1514258
11-05-2017,10.9475,11.26,9.8975,10.8375,10.6275,11.171875,11.09840741,44.81,11.00678057,11.14500093,-0.138220365,-0.06633828,12.21433398,10.12941602
10-05-2017,11.1125,11.1125,9.9575,10.9475,10.8375,11.17475,11.08403528,42.66,10.99766048,11.13037123,-0.132710753,-0.079612775,12.21424874,10.13525126
09-05-2017,11.665,11.665,10.5425,11.1125,10.9475,11.17375,11.0867462,43.62,11.0153281,11.12904744,-0.11371934,-0.086434088,12.21345833,10.13404167
08-05-2017,11.9875,11.9875,10.6125,11.665,11.1125,11.20625,11.14181799,44.85,11.11527762,11.16874763,-0.053470006,-0.079841271,12.26551675,10.14698325
05-05-2017,11.3325,12.16,10.4525,11.9875,11.665,11.265125,11.22235914,56.5,11.24946568,11.22939595,0.020069728,-0.059859072,12.36188875,10.16836125
04-05-2017,11.5275,11.7825,10.605,11.3325,11.9875,11.266375,11.23284874,62.65,11.26224019,11.23703329,0.025206902,-0.042845877,12.36339905,10.16935095
03-05-2017,11.4475,11.66,9.945,11.5275,11.3325,11.254625,11.26091077,45.36,11.30304939,11.25854934,0.044500051,-0.025376691,12.33416959,10.17508041
02-05-2017,10.86,11.8075,10.3525,11.4475,11.5275,11.23875,11.27868117,43.48,11.32527256,11.27254569,0.052726876,-0.009755978,12.29579715,10.18170285
28-04-2017,11.07,11.07,10.5325,10.86,11.4475,11.192375,11.23880677,52.88,11.25369217,11.24198675,0.011705422,-0.005463698,12.22924462,10.15550538
27-04-2017,11.74,11.74,10.36,11.07,10.86,11.20275,11.22272994,45.34,11.22543183,11.22924699,-0.003815153,-0.005133989,12.229828,10.175672
26-04-2017,11.155,11.865,9.9175,11.74,11.07,11.267375,11.27199375,42.01,11.30459617,11.26708054,0.037515624,0.003395934,12.25630647,10.27844353
25-04-2017,11.625,11.625,10.9725,11.155,11.74,11.233625,11.26085149,63.83,11.28158137,11.25877828,0.022803091,0.007277365,12.18714821,10.28010179
24-04-2017,11.4225,11.855,10.9675,11.625,11.155,11.20475,11.2955323,56.6,11.33441501,11.28590582,0.048509191,0.01552373,12.06516743,10.34433257
21-04-2017,11.56,11.735,10.555,11.4225,11.625,11.21575,11.30762446,59.77,11.34796655,11.2960239,0.051942641,0.022807512,12.081654,10.349846
20-04-2017,12.215,12.215,10.855,11.56,11.4225,11.228625,11.33166023,57.93,11.38058708,11.31557769,0.065009388,0.031247887,12.10752005,10.34972995
19-04-2017,12.375,12.515,10.745,12.215,11.56,11.250125,11.41578783,57.31,11.5089583,11.38220156,0.126756732,0.050349656,12.20415313,10.29609687
18-04-2017,11.8925,12.5925,10.76,12.375,12.215,11.337125,11.50714137,61.55,11.64219548,11.45574219,0.186453292,0.077570383,12.36912775,10.30512225
17-04-2017,11.5775,12.2125,10.6925,11.8925,12.375,11.40375,11.54384219,61.51,11.68070387,11.48809462,0.192609249,0.100578157,12.39578472,10.41171528
13-04-2017,11.6275,11.7825,10.585,11.5775,11.8925,11.448875,11.54704769,52.1,11.66482635,11.49471724,0.17010911,0.114484347,12.38167141,10.51607859
12-04-2017,11.395,12.065,10.79,11.6275,11.5775,11.498875,11.55470982,46.21,11.65908383,11.504553,0.154530835,0.122493645,12.3499138,10.6478362
11-04-2017,11.62,11.8325,10.2375,11.395,11.6275,11.52675,11.53949936,53.07,11.61845555,11.49643796,0.12201759,0.122398434,12.32121788,10.73228212
10-04-2017,11.6925,11.9225,11.2425,11.62,11.395,11.560375,11.54716609,48.63,11.61869316,11.50559071,0.113102453,0.120539238,12.30710872,10.81364128
07-04-2017,11.29,11.8125,10.305,11.6925,11.62,11.589375,11.56100741,51.73,11.63004806,11.51943584,0.110612219,0.118553834,12.30736905,10.87138095
06-04-2017,11.55,11.7675,11.0325,11.29,11.6925,11.570625,11.53519718,59.32,11.57773297,11.50244059,0.07529238,0.109901543,12.29980239,10.84144761
05-04-2017,11.4925,11.8875,10.89,11.55,11.29,11.54875,11.53660697,52.36,11.57346636,11.50596351,0.06750285,0.101421805,12.25102356,10.84647644
03-04-2017,12.42,12.7575,11.41,11.4925,11.55,11.55675,11.53240631,47.76,11.56101,11.50496621,0.056043784,0.092346201,12.25226401,10.86123599
31-03-2017,12.15,12.5125,11.4875,12.42,11.4925,11.601375,11.61693904,54.53,11.69316231,11.57274649,0.120415812,0.097960123,12.39639647,10.80635353
30-03-2017,12.0875,12.45,11.75,12.15,12.42,11.6365,11.66770675,59.51,11.76344503,11.61550601,0.147939015,0.107955901,12.46429574,10.80870426
29-03-2017,12.1175,12.24,11.45,12.0875,12.15,11.697875,11.70768706,58.56,11.81329964,11.65046853,0.162831108,0.118930943,12.46290385,10.93284615
28-03-2017,12.435,12.435,11.46,12.1175,12.0875,11.75025,11.74671687,56.32,11.86009969,11.68506345,0.17503624,0.130152002,12.47674465,11.02375535
27-03-2017,11.9775,12.57,11.3375,12.435,12.1175,11.785,11.81226764,48.63,11.9485459,11.74061431,0.207931586,0.145707919,12.57328929,10.99671071
24-03-2017,11.835,12.1025,10.705,11.9775,12.435,11.826125,11.82800406,50.81,11.95300037,11.7581614,0.194838975,0.15553413,12.55996579,11.09228421
23-03-2017,12.27,12.27,11.2375,11.835,11.9775,11.836625,11.82867034,51.15,11.93484647,11.76385315,0.170993323,0.158625969,12.56433278,11.10891722
22-03-2017,11.9425,12.3575,11.5825,12.27,11.835,11.879,11.87070173,53.67,11.98640855,11.80134551,0.185063045,0.163913384,12.60386732,11.15413268
21-03-2017,12.0175,12.155,11.0325,11.9425,12.27,11.898125,11.87753966,58.25,11.97965339,11.81180139,0.167851995,0.164701106,12.60757415,11.18867585
20-03-2017,11.8525,12.31,11.44,12.0175,11.9425,11.88825,11.89086922,56.87,11.98547594,11.82703833,0.158437617,0.163448408,12.58450332,11.19199668
17-03-2017,11.91,12.1125,10.3875,11.8525,12.0175,11.862125,11.88721501,55.18,11.96501811,11.82892438,0.136093729,0.157977473,12.51960879,11.20464121
16-03-2017,12.4225,12.4225,11.3425,11.91,11.8525,11.863,11.88938501,52.04,11.95655378,11.83492998,0.121623804,0.150706739,12.52070054,11.20529946
15-03-2017,12.4,12.5325,11.2025,12.4225,11.91,11.90525,11.94015786,58.65,12.02823782,11.87845368,0.149784132,0.150522217,12.59357921,11.21692079
14-03-2017,13.9575,13.9575,11.085,12.4,12.4225,11.943875,11.98395235,61.37,12.085432,11.91708675,0.168345253,0.154086825,12.65296351,11.23478649
10-03-2017,14.39,14.39,13.575,13.9575,12.4,12.072,12.17190927,61.93,12.37344246,12.06822847,0.305213993,0.184312258,13.17829134,10.96570866
09-03-2017,14.075,14.7825,12.6025,14.39,13.9575,12.2105,12.38315601,67.34,12.68368208,12.24021154,0.443470538,0.236143914,13.7042489,10.7167511
08-03-2017,13.875,14.2875,12.6875,14.075,14.39,12.329625,12.54428401,74.37,12.89773099,12.3761218,0.521609192,0.29323697,14.01690424,10.64234576
07-03-2017,13.64,14.0075,13.09,13.875,14.075,12.458875,12.67101886,70.5,13.04808007,12.48714981,0.560930255,0.346775627,14.20581705,10.71193295
06-03-2017,13.3525,13.725,12.81,13.64,13.875,12.563375,12.76330278,67.51,13.13914467,12.57254612,0.56659855,0.390740212,14.33131632,10.79543368
03-03-2017,13.3625,13.6025,12.5675,13.3525,13.64,12.656375,12.8194168,62.21,13.17196857,12.63032049,0.541648085,0.420921786,14.38231599,10.93043401
02-03-2017,13.575,13.615,13.03,13.3625,13.3525,12.7035,12.87113901,64.43,13.2012811,12.68455601,0.516725093,0.440082448,14.45356571,10.95343429
01-03-2017,13.7925,13.7975,13.2075,13.575,13.3625,12.77475,12.93817339,66.49,13.25877631,12.75051482,0.508261494,0.453718257,14.54583865,11.00366135
28-02-2017,13.675,14.025,13.1675,13.7925,13.575,12.86,13.01953783,64.8,13.34088765,12.82769891,0.513188743,0.465612354,14.65576915,11.06423085
27-02-2017,13.4,14.2725,13.4,13.675,13.7925,12.937875,13.0819628,71.51,13.39228955,12.89046195,0.501827599,0.472855403,14.73315337,11.14259663
23-02-2017,13.7,13.96,12.915,13.4,13.675,12.986125,13.11225206,69.08,13.39347577,12.92820551,0.465270263,0.471338375,14.77636056,11.19588944
22-02-2017,13.525,14.0425,12.7225,13.7,13.4,13.07225,13.16822805,67.38,13.44063335,12.98537547,0.455257874,0.468122275,14.82348558,11.32101442
21-02-2017,13.61,14.2825,11.8925,13.525,13.7,13.15675,13.20220633,69.06,13.45361283,13.02534766,0.428265172,0.460150854,14.81736585,11.49613415
20-02-2017,13.4325,13.8475,12.4125,13.61,13.525,13.22375,13.24104382,62.65,13.4776724,13.06865524,0.409017156,0.449924115,14.84129484,11.60620516
17-02-2017,13.73,13.7725,12.4675,13.4325,13.61,13.29825,13.25927775,63.69,13.4707228,13.0956067,0.375116093,0.43496251,14.80046687,11.79603313
